epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.407,1.7121,3.18068,0.65879,1.78204,1.9881,0.70772,0.7619,0.79547,0.30514,0.69131,0.6688,0.71716,0.51417,2.14835,1.60638,0.15241,2.34281,3.04868,0.00036674,0.00036674,0.00036674
2,254.433,1.49168,2.49759,0.67749,1.34622,1.8049,0.57551,0.53535,0.54763,0.18927,0.50376,0.47076,0.41635,0.23459,1.9593,2.52711,0.29381,1.50935,2.5837,0.000725395,0.000725395,0.000725395
3,380.445,1.47159,2.4399,0.66746,1.30252,1.84558,0.70869,0.84764,0.77932,0.28087,0.67461,0.80092,0.68242,0.44564,1.95527,1.26381,0.23497,1.3088,2.55575,0.00105875,0.00105875,0.00105875
4,506.187,1.41051,2.30608,0.62949,1.28781,1.78874,0.65491,0.67731,0.73602,0.27853,0.64102,0.64554,0.63306,0.44095,2.09102,1.43241,0.29602,1.28785,3.18342,0.00136679,0.00136679,0.00136679
5,632.666,1.38661,2.07319,0.62086,1.26496,1.78524,0.68648,0.85714,0.84925,0.40277,0.65916,0.80796,0.77613,0.58705,1.58418,1.05035,0.27904,1.3429,2.34186,0.00144696,0.00144696,0.00144696
6,757.615,1.3319,1.89207,0.59784,1.2194,1.74258,0.35823,0.64286,0.48332,0.27,0.69032,0.52381,0.45495,0.27783,1.45872,1.15565,0.28802,2.00201,2.59568,0.00139195,0.00139195,0.00139195
7,882.988,1.33812,1.82464,0.57303,1.13742,1.73335,0.63936,0.67857,0.73941,0.39508,0.69705,0.67621,0.69784,0.46527,1.72666,1.5557,0.34906,1.01091,2.37271,0.00133693,0.00133693,0.00133693
8,1008.53,1.30002,1.79101,0.56078,1.16688,1.70441,0.65658,0.76775,0.82513,0.43635,0.6552,0.77399,0.79153,0.47323,1.5582,1.25784,0.25939,1.13279,2.3685,0.00128192,0.00128192,0.00128192
9,1133.8,1.25968,1.78942,0.53907,1.1264,1.70054,0.65829,0.80649,0.73165,0.38051,0.64304,0.78571,0.68123,0.54903,1.66558,0.89348,0.242,1.11962,2.38176,0.00122691,0.00122691,0.00122691
10,1258.4,1.27906,1.75413,0.52343,1.11898,1.68086,0.637,0.84252,0.74514,0.3739,0.64854,0.80952,0.73203,0.55997,1.70827,0.86276,0.22073,1.08471,2.43165,0.0011719,0.0011719,0.0011719
