epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.467,1.7199,6.2214,0.6601,4.03015,2.58049,0.33534,0.79762,0.43644,0.16481,0.16168,0.36905,0.11769,0.01827,1.65537,5.38613,0.6406,3.32568,3.1859,0.00036674,0.00036674,0.00036674
2,254.884,1.38183,4.36006,0.57143,2.42544,2.1748,0.49475,0.93752,0.63769,0.25538,0.39587,0.75,0.47092,0.14261,2.01554,3.68477,0.51709,2.4203,3.40689,0.000675885,0.000675885,0.000675885
3,379.853,1.28027,3.2957,0.48808,1.96557,2.03858,0.47275,0.75454,0.59535,0.32201,0.44371,0.6308,0.41549,0.14023,1.6657,2.6671,0.34528,2.2183,2.66522,0.000909115,0.000909115,0.000909115
4,504.737,1.28215,2.64185,0.37619,1.7149,2.04117,0.53953,0.87682,0.69203,0.40871,0.5179,0.83105,0.66212,0.32565,1.47073,1.90416,0.2329,1.59374,2.25568,0.00106643,0.00106643,0.00106643
5,630.294,1.16953,2.19145,0.2915,1.5324,1.95215,0.60141,0.81121,0.78899,0.39581,0.53772,0.78571,0.68737,0.29123,1.66241,2.14917,0.172,1.71144,2.42824,0.00100687,0.00100687,0.00100687
6,754.742,1.20801,1.91029,0.22698,1.35293,1.95056,0.60088,0.77955,0.7777,0.46067,0.47377,0.90144,0.72221,0.35578,1.38451,1.42321,0.11178,1.55053,2.08305,0.000841835,0.000841835,0.000841835
7,879.911,1.1168,1.85114,0.19581,1.18104,1.87603,0.74413,0.83333,0.80154,0.48052,0.69203,0.7619,0.73462,0.53078,1.52624,1.02274,0.09543,1.37937,2.2501,0.000676802,0.000676802,0.000676802
8,1004.94,1.1329,1.74675,0.17422,1.13789,1.86595,0.74155,0.66667,0.76792,0.46211,0.57607,0.83333,0.73225,0.49231,1.53007,1.22467,0.08811,1.34928,2.14123,0.000511769,0.000511769,0.000511769
9,1129.6,1.03919,1.63866,0.17283,1.05008,1.78191,0.77662,0.84524,0.8065,0.46342,0.72254,0.78571,0.70401,0.58641,1.43641,0.95082,0.09409,1.21187,2.17858,0.000346736,0.000346736,0.000346736
10,1254.55,1.05514,1.51419,0.16724,0.96071,1.76559,0.79393,0.82143,0.78738,0.47453,0.7385,0.7619,0.70571,0.61853,1.41817,0.75641,0.08643,1.24141,2.05216,0.000181703,0.000181703,0.000181703
