epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2044,1.70113,8.76897,0.70669,3.39397,2.24426,0.00379,1,0.38521,0.20773,0,0,0,0,1.69981,8.49335,0.69988,4.68857,3.6266,5.001e-05,5.001e-05,5.001e-05
2,43.6057,1.67343,8.84279,0.70382,3.44511,2.21372,0.0036,1,0.61042,0.34808,0,0,0,0,1.31284,8.32546,0.70257,4.2644,2.51168,0.000115535,0.000115535,0.000115535
3,65.9187,1.16926,8.67506,0.69661,3.00493,1.86541,0.41582,0.66667,0.71996,0.41678,0,0,0,0,1.47622,8.06911,0.70294,3.91494,3.02641,0.000179739,0.000179739,0.000179739
4,87.3482,1.14245,7.9833,0.69561,2.63985,1.74675,0.77414,0.5,0.56018,0.28971,0,0,0,0,1.6149,7.977,0.7125,3.67718,3.64023,0.000242624,0.000242624,0.000242624
5,109.826,0.9641,8.27171,0.70379,2.19379,1.59535,0.78258,0.5,0.58042,0.31418,0,0,0,0,1.46814,7.94432,0.71118,3.27258,3.51461,0.000304187,0.000304187,0.000304187
6,134.469,1.05074,8.14058,0.69615,2.10331,1.69533,0.50275,0.99757,0.64208,0.463,0,0,0,0,1.10416,7.74604,0.71684,3.26354,2.5536,0.000364431,0.000364431,0.000364431
7,155.717,1.03926,7.75426,0.71409,1.88933,1.65508,0.57985,0.9943,0.67143,0.41515,0,0,0,0,1.41566,7.38801,0.73541,2.73705,3.02755,0.000423355,0.000423355,0.000423355
8,176.843,1.09783,6.8616,0.72322,1.80825,1.64232,0.53229,1,0.7875,0.46015,0,0,0,0,1.58935,7.28341,0.73139,2.32289,3.47429,0.000480958,0.000480958,0.000480958
9,198.593,1.12119,7.02652,0.72849,1.73098,1.64759,0.58613,0.83333,0.72667,0.34621,0,0,0,0,1.67847,6.86043,0.76715,2.9103,3.88568,0.000537241,0.000537241,0.000537241
10,21.3353,1.13081,6.87078,0.72729,1.67497,1.62646,0.70013,1,0.92208,0.45087,0,0,0,0,1.73277,6.19695,0.87838,3.16343,4.2397,0.000592203,0.000592203,0.000592203
11,41.5152,1.15719,7.1262,0.72762,1.77473,1.78692,0.63143,0.66667,0.75883,0.34909,0.06102,0.125,0.01531,0.00153,1.62503,6.18142,0.94864,2.91695,3.89187,0.000645846,0.000645846,0.000645846
12,61.3443,1.06565,6.62575,0.73959,1.57267,1.6327,0.88978,0.5,0.572,0.30291,0.09371,0.25,0.0495,0.0099,1.66101,5.40603,1.0416,2.58656,4.02709,0.000698168,0.000698168,0.000698168
13,81.1162,1.128,5.80908,0.73241,1.5112,1.69808,0.74567,0.5,0.767,0.30777,0.48086,0.41667,0.22771,0.03002,1.8745,5.39261,1.13719,2.88709,4.81954,0.00074917,0.00074917,0.00074917
14,101.097,0.92569,6.36085,0.73747,1.43241,1.51345,1,0.49388,0.63375,0.31659,0,0,0,0,1.68154,7.974,1.15135,2.61213,4.58117,0.000798851,0.000798851,0.000798851
15,121.584,1.09988,6.38269,0.72234,1.47342,1.67108,1,0.4971,0.63583,0.43712,0.05983,0.16667,0.05583,0.01117,1.47372,6.21703,0.92724,2.2076,3.96788,0.000847213,0.000847213,0.000847213
16,141.666,1.02255,6.23814,0.72306,1.39023,1.60422,0.40385,0.66667,0.56911,0.36115,0,0,0,0,1.66145,7.01249,0.89578,2.31167,3.97359,0.000894254,0.000894254,0.000894254
17,161.526,1.07161,5.5001,0.71426,1.4413,1.57889,0.37413,0.81504,0.71267,0.40187,0,0,0,0,1.65442,7.12255,0.86071,2.18183,4.0157,0.000939975,0.000939975,0.000939975
18,181.067,0.98346,5.70288,0.71196,1.29795,1.55354,0.93816,0.375,0.61775,0.37998,0.93816,0.375,0.45175,0.11465,1.7961,4.43877,0.83097,2.94265,4.83115,0.000984375,0.000984375,0.000984375
19,201.529,1.09386,5.36636,0.68267,1.24268,1.65488,0.76446,0.5,0.34918,0.14907,0.76446,0.5,0.34918,0.08957,1.85476,4.01671,0.85789,2.96526,4.52269,0.00102746,0.00102746,0.00102746
